_10k,10K
LaptopWindows,Laptop Windows
LastPage,Last Page
Launch,Launch
Layers,Layers
LayersClear,Layers Clear
Leaderboard,Leaderboard
LeakAdd,Leak Add
LeakRemove,Leak Remove
LeaveBagsAtHome,Leave Bags At Home
LegendToggle,Legend Toggle
Lens,Lens
LensBlur,Lens Blur
LibraryAdd,Library Add
LibraryAddCheck,Library Add Check
LibraryBooks,Library Books
LibraryMusic,Library Music
Light,Light
LightMode,Light Mode
Lightbulb,Lightbulb
LightbulbCircle,Lightbulb Circle
LineAxis,Line Axis
LineStyle,Line Style
LineWeight,Line Weight
LinearScale,Linear Scale
Link,Link
LinkOff,Link Off
LinkedCamera,Linked Camera
Liquor,Liquor
List,List
ListAlt,List Alt
LiveHelp,Live Help
LiveTv,Live Tv
Living,Living
LocalActivity,Local Activity
LocalAirport,Local Airport
LocalAtm,Local Atm
LocalBar,Local Bar
LocalCafe,Local Cafe
LocalCarWash,Local Car Wash
LocalConvenienceStore,Local Convenience Store
LocalDining,Local Dining
LocalDrink,Local Drink
LocalFireDepartment,Local Fire Department
LocalFlorist,Local Florist
LocalGasStation,Local Gas Station
LocalGroceryStore,Local Grocery Store
LocalHospital,Local Hospital
LocalHotel,Local Hotel
LocalLaundryService,Local Laundry Service
LocalLibrary,Local Library
LocalMall,Local Mall
LocalMovies,Local Movies
LocalOffer,Local Offer
LocalParking,Local Parking
LocalPharmacy,Local Pharmacy
LocalPhone,Local Phone
LocalPizza,Local Pizza
LocalPlay,Local Play
LocalPolice,Local Police
LocalPostOffice,Local Post Office
LocalPrintshop,Local Printshop
LocalSee,Local See
LocalShipping,Local Shipping
LocalTaxi,Local Taxi
LocationCity,Location City
LocationDisabled,Location Disabled
LocationOff,Location Off
LocationOn,Location On
LocationSearching,Location Searching
Lock,Lock
LockClock,Lock Clock
LockOpen,Lock Open
LockPerson,Lock Person
LockReset,Lock Reset
Login,Login
LogoDev,Logo Dev
Logout,Logout
Looks,Looks
Looks3,Looks 3
Looks4,Looks 4
Looks5,Looks 5
Looks6,Looks 6
LooksOne,Looks One
LooksTwo,Looks Two
Loop,Loop
Loupe,Loupe
LowPriority,Low Priority
Loyalty,Loyalty
LteMobiledata,Lte Mobiledata
LtePlusMobiledata,Lte Plus Mobiledata
Luggage,Luggage
LunchDining,Lunch Dining
Lyrics,Lyrics
MacroOff,Macro Off
Mail,Mail
MailLock,Mail Lock
MailOutline,Mail Outline
Male,Male
Man,Man
Man2,Man 2
Man3,Man 3
Man4,Man 4
ManageAccounts,Manage Accounts
ManageHistory,Manage History
ManageSearch,Manage Search
Map,Map
MapsHomeWork,Maps Home Work
MapsUgc,Maps Ugc
Margin,Margin
MarkAsUnread,Mark As Unread
MarkChatRead,Mark Chat Read
MarkChatUnread,Mark Chat Unread
MarkEmailRead,Mark Email Read
MarkEmailUnread,Mark Email Unread
MarkUnreadChatAlt,Mark Unread Chat Alt
Markunread,Markunread
MarkunreadMailbox,Markunread Mailbox
Masks,Masks
Maximize,Maximize
MediaBluetoothOff,Media Bluetooth Off
MediaBluetoothOn,Media Bluetooth On
Mediation,Mediation
MedicalInformation,Medical Information
MedicalServices,Medical Services
Medication,Medication
MeetingRoom,Meeting Room
Memory,Memory
Menu,Menu
MenuBook,Menu Book
MenuOpen,Menu Open
Merge,Merge
MergeType,Merge Type
Message,Message
Mic,Mic
MicExternalOff,Mic External Off
MicExternalOn,Mic External On
MicNone,Mic None
MicOff,Mic Off
Microwave,Microwave
MilitaryTech,Military Tech
Minimize,Minimize
MinorCrash,Minor Crash
MiscellaneousServices,Miscellaneous Services
MissedVideoCall,Missed Video Call
Mms,Mms
MobileFriendly,Mobile Friendly
MobileOff,Mobile Off
MobileScreenShare,Mobile Screen Share
MobiledataOff,Mobiledata Off
Mode,Mode
ModeComment,Mode Comment
ModeEdit,Mode Edit
ModeEditOutline,Mode Edit Outline
ModeFanOff,Mode Fan Off
ModeNight,Mode Night
ModeOfTravel,Mode Of Travel
ModeStandby,Mode Standby
ModelTraining,Model Training
MonetizationOn,Monetization On
Money,Money
MoneyOff,Money Off
MoneyOffCsred,Money Off Csred
Monitor,Monitor
MonitorHeart,Monitor Heart
MonitorWeight,Monitor Weight
MonochromePhotos,Monochrome Photos
Mood,Mood
MoodBad,Mood Bad
Moped,Moped
More,More
MoreHoriz,More Horiz
MoreTime,More Time
MoreVert,More Vert
Mosque,Mosque
MotionPhotosAuto,Motion Photos Auto
MotionPhotosOff,Motion Photos Off
MotionPhotosOn,Motion Photos On
MotionPhotosPause,Motion Photos Pause
MotionPhotosPaused,Motion Photos Paused
Motorcycle,Motorcycle
Mouse,Mouse
MoveDown,Move Down
MoveToInbox,Move To Inbox
MoveUp,Move Up
Movie,Movie
MovieCreation,Movie Creation
MovieFilter,Movie Filter
Moving,Moving
Mp,Mp
MultilineChart,Multiline Chart
MultipleStop,Multiple Stop
Museum,Museum
MusicNote,Music Note
MusicOff,Music Off
MusicVideo,Music Video
MyLocation,My Location
Nat,Nat
Nature,Nature
NaturePeople,Nature People
NavigateBefore,Navigate Before
NavigateNext,Navigate Next
Navigation,Navigation
NearMe,Near Me
NearMeDisabled,Near Me Disabled
NearbyError,Nearby Error
NearbyOff,Nearby Off
NestCamWiredStand,Nest Cam Wired Stand
NetworkCell,Network Cell
NetworkCheck,Network Check
NetworkLocked,Network Locked
NetworkPing,Network Ping
NetworkWifi,Network Wifi
NetworkWifi1Bar,Network Wifi 1 Bar
NetworkWifi2Bar,Network Wifi 2 Bar
NetworkWifi3Bar,Network Wifi 3 Bar
NewLabel,New Label
NewReleases,New Releases
Newspaper,Newspaper
NextPlan,Next Plan
NextWeek,Next Week
Nfc,Nfc
NightShelter,Night Shelter
Nightlife,Nightlife
Nightlight,Nightlight
NightlightRound,Nightlight Round
NightsStay,Nights Stay
NoAccounts,No Accounts
NoAdultContent,No Adult Content
NoBackpack,No Backpack
NoCell,No Cell
NoCrash,No Crash
NoDrinks,No Drinks
NoEncryption,No Encryption
NoEncryptionGmailerrorred,No Encryption Gmailerrorred
NoFlash,No Flash
NoFood,No Food
NoLuggage,No Luggage
NoMeals,No Meals
NoMeetingRoom,No Meeting Room
NoPhotography,No Photography
NoSim,No Sim
NoStroller,No Stroller
NoTransfer,No Transfer
NoiseAware,Noise Aware
NoiseControlOff,Noise Control Off
NordicWalking,Nordic Walking
North,North
NorthEast,North East
NorthWest,North West
NotAccessible,Not Accessible
NotInterested,Not Interested
NotListedLocation,Not Listed Location
NotStarted,Not Started
Note,Note
NoteAdd,Note Add
NoteAlt,Note Alt
Notes,Notes
NotificationAdd,Notification Add
NotificationImportant,Notification Important
Notifications,Notifications
NotificationsActive,Notifications Active
NotificationsNone,Notifications None
NotificationsOff,Notifications Off
NotificationsPaused,Notifications Paused
Numbers,Numbers
OfflineBolt,Offline Bolt
OfflinePin,Offline Pin
OfflineShare,Offline Share
OilBarrel,Oil Barrel
OnDeviceTraining,On Device Training
OndemandVideo,Ondemand Video
OnlinePrediction,Online Prediction
Opacity,Opacity
OpenInBrowser,Open In Browser
OpenInFull,Open In Full
OpenInNew,Open In New
OpenInNewOff,Open In New Off
OpenWith,Open With
OtherHouses,Other Houses
Outbond,Outbond
Outbound,Outbound
Outbox,Outbox
OutdoorGrill,Outdoor Grill
Outlet,Outlet
OutlinedFlag,Outlined Flag
Output,Output
Padding,Padding
Pages,Pages
Pageview,Pageview
Paid,Paid
Palette,Palette
PanTool,Pan Tool
PanToolAlt,Pan Tool Alt
Panorama,Panorama
PanoramaFishEye,Panorama Fish Eye
PanoramaHorizontal,Panorama Horizontal
PanoramaHorizontalSelect,Panorama Horizontal Select
PanoramaPhotosphere,Panorama Photosphere
PanoramaPhotosphereSelect,Panorama Photosphere Select
PanoramaVertical,Panorama Vertical
PanoramaVerticalSelect,Panorama Vertical Select
PanoramaWideAngle,Panorama Wide Angle
PanoramaWideAngleSelect,Panorama Wide Angle Select
Paragliding,Paragliding
Park,Park
PartyMode,Party Mode
Password,Password
Pattern,Pattern
Pause,Pause
PauseCircle,Pause Circle
PauseCircleFilled,Pause Circle Filled
PauseCircleOutline,Pause Circle Outline
PausePresentation,Pause Presentation
Payment,Payment
Payments,Payments
PedalBike,Pedal Bike
Pending,Pending
PendingActions,Pending Actions
Pentagon,Pentagon
People,People
PeopleAlt,People Alt
PeopleOutline,People Outline
Percent,Percent
PermCameraMic,Perm Camera Mic
PermContactCalendar,Perm Contact Calendar
PermDataSetting,Perm Data Setting
PermDeviceInformation,Perm Device Information
PermIdentity,Perm Identity
PermMedia,Perm Media
PermPhoneMsg,Perm Phone Msg
PermScanWifi,Perm Scan Wifi
Person,Person
Person2,Person 2
Person3,Person 3
Person4,Person 4
PersonAdd,Person Add
PersonAddAlt,Person Add Alt
PersonAddAlt1,Person Add Alt 1
PersonAddDisabled,Person Add Disabled
PersonOff,Person Off
PersonOutline,Person Outline
PersonPin,Person Pin
PersonPinCircle,Person Pin Circle
PersonRemove,Person Remove
PersonRemoveAlt1,Person Remove Alt 1
PersonSearch,Person Search
PersonalInjury,Personal Injury
PersonalVideo,Personal Video
PestControl,Pest Control
PestControlRodent,Pest Control Rodent
Pets,Pets
Phishing,Phishing
Phone,Phone
PhoneAndroid,Phone Android
PhoneBluetoothSpeaker,Phone Bluetooth Speaker
PhoneCallback,Phone Callback
PhoneDisabled,Phone Disabled
PhoneEnabled,Phone Enabled
PhoneForwarded,Phone Forwarded
PhoneInTalk,Phone In Talk
PhoneIphone,Phone Iphone
PhoneLocked,Phone Locked
PhoneMissed,Phone Missed
PhonePaused,Phone Paused
Phonelink,Phonelink
PhonelinkErase,Phonelink Erase
PhonelinkLock,Phonelink Lock
PhonelinkOff,Phonelink Off
PhonelinkRing,Phonelink Ring
PhonelinkSetup,Phonelink Setup
Photo,Photo
PhotoAlbum,Photo Album
PhotoCamera,Photo Camera
PhotoCameraBack,Photo Camera Back
PhotoCameraFront,Photo Camera Front
PhotoFilter,Photo Filter
PhotoLibrary,Photo Library
PhotoSizeSelectActual,Photo Size Select Actual
PhotoSizeSelectLarge,Photo Size Select Large
PhotoSizeSelectSmall,Photo Size Select Small
Php,Php
Piano,Piano
PianoOff,Piano Off
PictureAsPdf,Picture As Pdf
PictureInPicture,Picture In Picture
PictureInPictureAlt,Picture In Picture Alt
PieChart,Pie Chart
PieChartOutline,Pie Chart Outline
Pin,Pin
PinDrop,Pin Drop
PinEnd,Pin End
PinInvoke,Pin Invoke
Pinch,Pinch
PivotTableChart,Pivot Table Chart
Pix,Pix
Place,Place
Plagiarism,Plagiarism
PlayArrow,Play Arrow
PlayCircle,Play Circle
PlayCircleFilled,Play Circle Filled
PlayCircleOutline,Play Circle Outline
PlayDisabled,Play Disabled
PlayForWork,Play For Work
PlayLesson,Play Lesson
PlaylistAdd,Playlist Add
PlaylistAddCheck,Playlist Add Check
PlaylistAddCheckCircle,Playlist Add Check Circle
PlaylistAddCircle,Playlist Add Circle
PlaylistPlay,Playlist Play
PlaylistRemove,Playlist Remove
Plumbing,Plumbing
PlusOne,Plus One
Podcasts,Podcasts
PointOfSale,Point Of Sale
Policy,Policy
Poll,Poll
Polyline,Polyline
Polymer,Polymer
Pool,Pool
PortableWifiOff,Portable Wifi Off
Portrait,Portrait
PostAdd,Post Add
Power,Power
PowerInput,Power Input
PowerOff,Power Off
PowerSettingsNew,Power Settings New
PrecisionManufacturing,Precision Manufacturing
PregnantWoman,Pregnant Woman
PresentToAll,Present To All
Preview,Preview
PriceChange,Price Change
PriceCheck,Price Check
Print,Print
PrintDisabled,Print Disabled
PriorityHigh,Priority High
PrivacyTip,Privacy Tip
PrivateConnectivity,Private Connectivity
ProductionQuantityLimits,Production Quantity Limits
Propane,Propane
PropaneTank,Propane Tank
Psychology,Psychology
PsychologyAlt,Psychology Alt
Public,Public
PublicOff,Public Off
Publish,Publish
PublishedWithChanges,Published With Changes
PunchClock,Punch Clock
PushPin,Push Pin
QrCode,Qr Code
QrCode2,Qr Code 2
QrCodeScanner,Qr Code Scanner
QueryBuilder,Query Builder
QueryStats,Query Stats
QuestionAnswer,Question Answer
QuestionMark,Question Mark
Queue,Queue
QueueMusic,Queue Music
QueuePlayNext,Queue Play Next
Quickreply,Quickreply
Quiz,Quiz
RMobiledata,R Mobiledata
Radar,Radar
Radio,Radio
RadioButtonChecked,Radio Button Checked
RadioButtonUnchecked,Radio Button Unchecked
RailwayAlert,Railway Alert
RamenDining,Ramen Dining
RampLeft,Ramp Left
RampRight,Ramp Right
RateReview,Rate Review
RawOff,Raw Off
RawOn,Raw On
ReadMore,Read More
RealEstateAgent,Real Estate Agent
Receipt,Receipt
ReceiptLong,Receipt Long
RecentActors,Recent Actors
Recommend,Recommend
RecordVoiceOver,Record Voice Over
Rectangle,Rectangle
Recycling,Recycling
Redeem,Redeem
Redo,Redo
ReduceCapacity,Reduce Capacity
Refresh,Refresh
RememberMe,Remember Me
Remove,Remove
RemoveCircle,Remove Circle
RemoveCircleOutline,Remove Circle Outline
RemoveDone,Remove Done
RemoveFromQueue,Remove From Queue
RemoveModerator,Remove Moderator
RemoveRedEye,Remove Red Eye
RemoveRoad,Remove Road
RemoveShoppingCart,Remove Shopping Cart
Reorder,Reorder
Repartition,Repartition
Repeat,Repeat
RepeatOn,Repeat On
RepeatOne,Repeat One
RepeatOneOn,Repeat One On
Replay,Replay
Replay10,Replay 10
Replay30,Replay 30
Replay5,Replay 5
ReplayCircleFilled,Replay Circle Filled
Reply,Reply
ReplyAll,Reply All
Report,Report
ReportGmailerrorred,Report Gmailerrorred
ReportOff,Report Off
ReportProblem,Report Problem
RequestPage,Request Page
RequestQuote,Request Quote
ResetTv,Reset Tv
RestartAlt,Restart Alt
Restaurant,Restaurant
RestaurantMenu,Restaurant Menu
Restore,Restore
RestoreFromTrash,Restore From Trash
RestorePage,Restore Page
Reviews,Reviews
RiceBowl,Rice Bowl
RingVolume,Ring Volume
Rocket,Rocket
RocketLaunch,Rocket Launch
RollerShades,Roller Shades
RollerShadesClosed,Roller Shades Closed
RollerSkating,Roller Skating
Roofing,Roofing
Room,Room
RoomPreferences,Room Preferences
RoomService,Room Service
Rotate90DegreesCcw,Rotate 90 Degrees Ccw
Rotate90DegreesCw,Rotate 90 Degrees Cw
RotateLeft,Rotate Left
RotateRight,Rotate Right
RoundaboutLeft,Roundabout Left
RoundaboutRight,Roundabout Right
RoundedCorner,Rounded Corner
Route,Route
Router,Router
Rowing,Rowing
RssFeed,Rss Feed
Rsvp,Rsvp
Rtt,Rtt
Rule,Rule
RuleFolder,Rule Folder
RunCircle,Run Circle
RunningWithErrors,Running With Errors
RvHookup,Rv Hookup
SafetyCheck,Safety Check
SafetyDivider,Safety Divider
Sailing,Sailing
Sanitizer,Sanitizer
Satellite,Satellite
SatelliteAlt,Satellite Alt
Save,Save
SaveAlt,Save Alt
SaveAs,Save As
SavedSearch,Saved Search
Savings,Savings
Scale,Scale
Scanner,Scanner
ScatterPlot,Scatter Plot
Schedule,Schedule
ScheduleSend,Schedule Send
Schema,Schema
School,School
Science,Science
Score,Score
Scoreboard,Scoreboard
ScreenLockLandscape,Screen Lock Landscape
ScreenLockPortrait,Screen Lock Portrait
ScreenLockRotation,Screen Lock Rotation
ScreenRotation,Screen Rotation
ScreenRotationAlt,Screen Rotation Alt
ScreenSearchDesktop,Screen Search Desktop
ScreenShare,Screen Share
Screenshot,Screenshot
ScreenshotMonitor,Screenshot Monitor
ScubaDiving,Scuba Diving
Sd,Sd
SdCard,Sd Card
SdCardAlert,Sd Card Alert
SdStorage,Sd Storage
Search,Search
SearchOff,Search Off
Security,Security
SecurityUpdate,Security Update
SecurityUpdateGood,Security Update Good
SecurityUpdateWarning,Security Update Warning
Segment,Segment
SelectAll,Select All
SelfImprovement,Self Improvement
Sell,Sell
Send,Send
SendAndArchive,Send And Archive
SendTimeExtension,Send Time Extension
SendToMobile,Send To Mobile
SensorDoor,Sensor Door
SensorOccupied,Sensor Occupied
SensorWindow,Sensor Window
Sensors,Sensors
SensorsOff,Sensors Off
SentimentDissatisfied,Sentiment Dissatisfied
SentimentNeutral,Sentiment Neutral
SentimentSatisfied,Sentiment Satisfied
SentimentSatisfiedAlt,Sentiment Satisfied Alt
SentimentVeryDissatisfied,Sentiment Very Dissatisfied
SentimentVerySatisfied,Sentiment Very Satisfied
SetMeal,Set Meal
Settings,Settings
SettingsAccessibility,Settings Accessibility
SettingsApplications,Settings Applications
SettingsBackupRestore,Settings Backup Restore
SettingsBluetooth,Settings Bluetooth
SettingsBrightness,Settings Brightness
SettingsCell,Settings Cell
SettingsEthernet,Settings Ethernet
SettingsInputAntenna,Settings Input Antenna
SettingsInputComponent,Settings Input Component
SettingsInputComposite,Settings Input Composite
SettingsInputHdmi,Settings Input Hdmi
SettingsInputSvideo,Settings Input Svideo
SettingsOverscan,Settings Overscan
SettingsPhone,Settings Phone
SettingsPower,Settings Power
SettingsRemote,Settings Remote
SettingsSuggest,Settings Suggest
SettingsSystemDaydream,Settings System Daydream
SettingsVoice,Settings Voice
SevereCold,Severe Cold
ShapeLine,Shape Line
Share,Share
ShareLocation,Share Location
Shield,Shield
ShieldMoon,Shield Moon
Shop,Shop
Shop2,Shop 2
ShopTwo,Shop Two
ShoppingBag,Shopping Bag
ShoppingBasket,Shopping Basket
ShoppingCart,Shopping Cart
ShoppingCartCheckout,Shopping Cart Checkout
ShortText,Short Text
Shortcut,Shortcut
ShowChart,Show Chart
Shower,Shower
Shuffle,Shuffle
ShuffleOn,Shuffle On
ShutterSpeed,Shutter Speed
Sick,Sick
SignLanguage,Sign Language
SignalCellular0Bar,Signal Cellular 0 Bar
SignalCellular4Bar,Signal Cellular 4 Bar
SignalCellularAlt,Signal Cellular Alt
SignalCellularAlt1Bar,Signal Cellular Alt 1 Bar
SignalCellularAlt2Bar,Signal Cellular Alt 2 Bar
SignalCellularConnectedNoInternet0Bar,Signal Cellular Connected No Internet 0 Bar
SignalCellularConnectedNoInternet4Bar,Signal Cellular Connected No Internet 4 Bar
SignalCellularNoSim,Signal Cellular No Sim
SignalCellularNodata,Signal Cellular Nodata
SignalCellularNull,Signal Cellular Null
SignalCellularOff,Signal Cellular Off
SignalWifi0Bar,Signal Wifi 0 Bar
SignalWifi4Bar,Signal Wifi 4 Bar
SignalWifi4BarLock,Signal Wifi 4 Bar Lock
SignalWifiBad,Signal Wifi Bad
SignalWifiConnectedNoInternet4,Signal Wifi Connected No Internet 4
SignalWifiOff,Signal Wifi Off
SignalWifiStatusbar4Bar,Signal Wifi Statusbar 4 Bar
SignalWifiStatusbarConnectedNoInternet4,Signal Wifi Statusbar Connected No Internet 4
SignalWifiStatusbarNull,Signal Wifi Statusbar Null
Signpost,Signpost
SimCard,Sim Card
SimCardAlert,Sim Card Alert
SimCardDownload,Sim Card Download
SingleBed,Single Bed
Sip,Sip
Skateboarding,Skateboarding
SkipNext,Skip Next
SkipPrevious,Skip Previous
Sledding,Sledding
Slideshow,Slideshow
SlowMotionVideo,Slow Motion Video
SmartButton,Smart Button
SmartDisplay,Smart Display
SmartScreen,Smart Screen
SmartToy,Smart Toy
Smartphone,Smartphone
SmokeFree,Smoke Free
SmokingRooms,Smoking Rooms
Sms,Sms
SmsFailed,Sms Failed
SnippetFolder,Snippet Folder
Snooze,Snooze
Snowboarding,Snowboarding
Snowmobile,Snowmobile
Snowshoeing,Snowshoeing
Soap,Soap
SocialDistance,Social Distance
SolarPower,Solar Power
Sort,Sort
SortByAlpha,Sort By Alpha
Sos,Sos
SoupKitchen,Soup Kitchen
Source,Source
South,South
SouthAmerica,South America
SouthEast,South East
SouthWest,South West
Spa,Spa
SpaceBar,Space Bar
SpaceDashboard,Space Dashboard
SpatialAudio,Spatial Audio
SpatialAudioOff,Spatial Audio Off
SpatialTracking,Spatial Tracking
Speaker,Speaker
SpeakerGroup,Speaker Group
SpeakerNotes,Speaker Notes
SpeakerNotesOff,Speaker Notes Off
SpeakerPhone,Speaker Phone
Speed,Speed
Spellcheck,Spellcheck
Splitscreen,Splitscreen
Spoke,Spoke
Sports,Sports
SportsBar,Sports Bar
SportsBaseball,Sports Baseball
SportsBasketball,Sports Basketball
SportsCricket,Sports Cricket
SportsEsports,Sports Esports
SportsFootball,Sports Football
SportsGolf,Sports Golf
SportsGymnastics,Sports Gymnastics
SportsHandball,Sports Handball
SportsHockey,Sports Hockey
SportsKabaddi,Sports Kabaddi
SportsMartialArts,Sports Martial Arts
SportsMma,Sports Mma
SportsMotorsports,Sports Motorsports
SportsRugby,Sports Rugby
SportsScore,Sports Score
SportsSoccer,Sports Soccer
SportsTennis,Sports Tennis
SportsVolleyball,Sports Volleyball
Square,Square
SquareFoot,Square Foot
SsidChart,Ssid Chart
StackedBarChart,Stacked Bar Chart
StackedLineChart,Stacked Line Chart
Stadium,Stadium
Stairs,Stairs
Star,Star
StarBorder,Star Border
StarBorderPurple500,Star Border Purple500
StarHalf,Star Half
StarOutline,Star Outline
StarPurple500,Star Purple500
StarRate,Star Rate
Stars,Stars
Start,Start
StayCurrentLandscape,Stay Current Landscape
StayCurrentPortrait,Stay Current Portrait
StayPrimaryLandscape,Stay Primary Landscape
StayPrimaryPortrait,Stay Primary Portrait
StickyNote2,Sticky Note 2
Stop,Stop
StopCircle,Stop Circle
StopScreenShare,Stop Screen Share
Storage,Storage
Store,Store
StoreMallDirectory,Store Mall Directory
Storefront,Storefront
Storm,Storm
Straight,Straight
Straighten,Straighten
Stream,Stream
Streetview,Streetview
StrikethroughS,Strikethrough S
Stroller,Stroller
Style,Style
SubdirectoryArrowLeft,Subdirectory Arrow Left
SubdirectoryArrowRight,Subdirectory Arrow Right
Subject,Subject
Subscript,Subscript
Subscriptions,Subscriptions
Subtitles,Subtitles
SubtitlesOff,Subtitles Off
Subway,Subway
Summarize,Summarize
Superscript,Superscript
SupervisedUserCircle,Supervised User Circle
SupervisorAccount,Supervisor Account
Support,Support
SupportAgent,Support Agent
Surfing,Surfing
SurroundSound,Surround Sound
SwapCalls,Swap Calls
SwapHoriz,Swap Horiz
SwapHorizontalCircle,Swap Horizontal Circle
SwapVert,Swap Vert
SwapVerticalCircle,Swap Vertical Circle
Swipe,Swipe
SwipeDown,Swipe Down
SwipeDownAlt,Swipe Down Alt
SwipeLeft,Swipe Left
SwipeLeftAlt,Swipe Left Alt
SwipeRight,Swipe Right
SwipeRightAlt,Swipe Right Alt
SwipeUp,Swipe Up
SwipeUpAlt,Swipe Up Alt
SwipeVertical,Swipe Vertical
SwitchAccessShortcut,Switch Access Shortcut
SwitchAccessShortcutAdd,Switch Access Shortcut Add
SwitchAccount,Switch Account
SwitchCamera,Switch Camera
SwitchLeft,Switch Left
SwitchRight,Switch Right
SwitchVideo,Switch Video
Synagogue,Synagogue
Sync,Sync
SyncAlt,Sync Alt
SyncDisabled,Sync Disabled
SyncLock,Sync Lock
SyncProblem,Sync Problem
SystemSecurityUpdate,System Security Update
SystemSecurityUpdateGood,System Security Update Good
SystemSecurityUpdateWarning,System Security Update Warning
SystemUpdate,System Update
SystemUpdateAlt,System Update Alt
Tab,Tab
TabUnselected,Tab Unselected
TableBar,Table Bar
TableChart,Table Chart
TableRestaurant,Table Restaurant
TableRows,Table Rows
TableView,Table View
Tablet,Tablet
TabletAndroid,Tablet Android
TabletMac,Tablet Mac
Tag,Tag
TagFaces,Tag Faces
TakeoutDining,Takeout Dining
TapAndPlay,Tap And Play
Tapas,Tapas
Task,Task
TaskAlt,Task Alt
TaxiAlert,Taxi Alert
TempleBuddhist,Temple Buddhist
TempleHindu,Temple Hindu
Terminal,Terminal
Terrain,Terrain
TextDecrease,Text Decrease
TextFields,Text Fields
TextFormat,Text Format
TextIncrease,Text Increase
TextRotateUp,Text Rotate Up
TextRotateVertical,Text Rotate Vertical
TextRotationAngledown,Text Rotation Angledown
TextRotationAngleup,Text Rotation Angleup
TextRotationDown,Text Rotation Down
TextRotationNone,Text Rotation None
TextSnippet,Text Snippet
Textsms,Textsms
Texture,Texture
TheaterComedy,Theater Comedy
Theaters,Theaters
Thermostat,Thermostat
ThermostatAuto,Thermostat Auto
ThumbDown,Thumb Down
ThumbDownAlt,Thumb Down Alt
ThumbDownOffAlt,Thumb Down Off Alt
ThumbUp,Thumb Up
ThumbUpAlt,Thumb Up Alt
ThumbUpOffAlt,Thumb Up Off Alt
ThumbsUpDown,Thumbs Up Down
Thunderstorm,Thunderstorm
TimeToLeave,Time To Leave
Timelapse,Timelapse
Timeline,Timeline
Timer,Timer
Timer10,Timer 10
Timer10Select,Timer 10 Select
Timer3,Timer 3
Timer3Select,Timer 3 Select
TimerOff,Timer Off
TipsAndUpdates,Tips And Updates
TireRepair,Tire Repair
Title,Title
Toc,Toc
Today,Today
ToggleOff,Toggle Off
ToggleOn,Toggle On
Token,Token
Toll,Toll
Tonality,Tonality
Topic,Topic
Tornado,Tornado
TouchApp,Touch App
Tour,Tour
Toys,Toys
TrackChanges,Track Changes
Traffic,Traffic
Train,Train
Tram,Tram
Transcribe,Transcribe
TransferWithinAStation,Transfer Within A Station
Transform,Transform
Transgender,Transgender
TransitEnterexit,Transit Enterexit
Translate,Translate
TravelExplore,Travel Explore
TrendingDown,Trending Down
TrendingFlat,Trending Flat
TrendingUp,Trending Up
TripOrigin,Trip Origin
Troubleshoot,Troubleshoot
Try,Try
Tsunami,Tsunami
Tty,Tty
Tune,Tune
Tungsten,Tungsten
TurnLeft,Turn Left
TurnRight,Turn Right
TurnSharpLeft,Turn Sharp Left
TurnSharpRight,Turn Sharp Right
TurnSlightLeft,Turn Slight Left
TurnSlightRight,Turn Slight Right
TurnedIn,Turned In
TurnedInNot,Turned In Not
Tv,Tv
TvOff,Tv Off
TwoWheeler,Two Wheeler
TypeSpecimen,Type Specimen
UTurnLeft,U Turn Left
UTurnRight,U Turn Right
Umbrella,Umbrella
Unarchive,Unarchive
Undo,Undo
UnfoldLess,Unfold Less
UnfoldLessDouble,Unfold Less Double
UnfoldMore,Unfold More
UnfoldMoreDouble,Unfold More Double
Unpublished,Unpublished
Unsubscribe,Unsubscribe
Upcoming,Upcoming
Update,Update
UpdateDisabled,Update Disabled
Upgrade,Upgrade
Upload,Upload
UploadFile,Upload File
Usb,Usb
UsbOff,Usb Off
Vaccines,Vaccines
VapeFree,Vape Free
VapingRooms,Vaping Rooms
Verified,Verified
VerifiedUser,Verified User
VerticalAlignBottom,Vertical Align Bottom
VerticalAlignCenter,Vertical Align Center
VerticalAlignTop,Vertical Align Top
VerticalDistribute,Vertical Distribute
VerticalShades,Vertical Shades
VerticalShadesClosed,Vertical Shades Closed
VerticalSplit,Vertical Split
Vibration,Vibration
VideoCall,Video Call
VideoCameraBack,Video Camera Back
VideoCameraFront,Video Camera Front
VideoChat,Video Chat
VideoFile,Video File
VideoLabel,Video Label
VideoLibrary,Video Library
VideoSettings,Video Settings
VideoStable,Video Stable
Videocam,Videocam
VideocamOff,Videocam Off
VideogameAsset,Videogame Asset
VideogameAssetOff,Videogame Asset Off
ViewAgenda,View Agenda
ViewArray,View Array
ViewCarousel,View Carousel
ViewColumn,View Column
ViewComfy,View Comfy
ViewComfyAlt,View Comfy Alt
ViewCompact,View Compact
ViewCompactAlt,View Compact Alt
ViewCozy,View Cozy
ViewDay,View Day
ViewHeadline,View Headline
ViewInAr,View In Ar
ViewKanban,View Kanban
ViewList,View List
ViewModule,View Module
ViewQuilt,View Quilt
ViewSidebar,View Sidebar
ViewStream,View Stream
ViewTimeline,View Timeline
ViewWeek,View Week
Vignette,Vignette
Villa,Villa
Visibility,Visibility
VisibilityOff,Visibility Off
VoiceChat,Voice Chat
VoiceOverOff,Voice Over Off
Voicemail,Voicemail
Volcano,Volcano
VolumeDown,Volume Down
VolumeMute,Volume Mute
VolumeOff,Volume Off
